date,fear_greed_score,sentiment_label,returns
2024-06-19,64,Greed,-0.02032901383309571
2024-06-20,60,Greed,-0.0031061639209483127
2024-06-21,63,Greed,-0.0009613773229312228
2024-06-22,53,Neutral,-0.011921567040108605
2024-06-23,55,Greed,0.0026264232458665937
2024-06-24,51,Neutral,-0.015855349221452153
2024-06-25,30,Fear,-0.045208178491037865
2024-06-26,46,Fear,0.02331185357072041
2024-06-27,40,Fear,-0.016521140334617046
2024-06-28,47,Neutral,0.013378609386993867
2024-06-29,30,Fear,-0.02023220963725003
2024-06-30,47,Neutral,0.009074478214188275
2024-07-01,53,Neutral,0.030723203571341617
2024-07-02,51,Neutral,0.0013617479110801245
2024-07-03,50,Neutral,-0.012372802151316309
2024-07-04,44,Fear,-0.02897823891862894
2024-07-05,29,Fear,-0.050718280875240884
2024-07-06,26,Fear,-0.007856579149743137
2024-07-07,29,Fear,0.02627114744825998
2024-07-08,28,Fear,-0.04035873667701961
2024-07-09,27,Fear,0.014043666502696173
2024-07-10,28,Fear,0.023350560175720236
2024-07-11,29,Fear,-0.004899285035333434
2024-07-12,25,Extreme Fear,-0.005476374211680013
2024-07-13,25,Extreme Fear,0.008905951838695358
2024-07-14,33,Fear,0.021648455515526077
2024-07-15,52,Neutral,0.03025403780489966
2024-07-16,65,Greed,0.06388272548210927
2024-07-17,69,Greed,0.005039624447541247
2024-07-18,61,Greed,-0.015744125244010032
2024-07-19,60,Greed,-0.002755768533003966
2024-07-20,74,Greed,0.04268289861225161
2024-07-21,74,Greed,0.007745080121796422
2024-07-22,70,Greed,0.013124935390178782
2024-07-23,71,Greed,-0.007055950776683417
2024-07-24,69,Greed,-0.02463174466687923
2024-07-25,68,Greed,-0.00817201364034359
2024-07-26,68,Greed,0.005296785391466274
2024-07-27,72,Greed,0.03300888314713002
2024-07-28,71,Greed,0.001989271410399507
2024-07-29,74,Greed,0.0027453961232892787
2024-07-30,67,Greed,-0.02156913906995006
2024-07-31,61,Greed,-0.00825621153288536
2024-08-01,52,Neutral,-0.023245159119701042
2024-08-02,57,Greed,0.010478560298426753
2024-08-03,37,Fear,-0.060440383187860935
2024-08-04,34,Fear,-0.010887151823849361
2024-08-05,26,Fear,-0.044988389894164094
2024-08-06,17,Extreme Fear,-0.06981916217942807
2024-08-07,29,Fear,0.03713339590274356
2024-08-08,20,Extreme Fear,-0.015366184857266152
2024-08-09,48,Neutral,0.12266943192076574
2024-08-10,40,Fear,-0.015299998096081957
2024-08-11,39,Fear,-0.00040845279333590057
2024-08-12,25,Extreme Fear,-0.03421830388813907
2024-08-13,31,Fear,0.009282321884175992
2024-08-14,30,Fear,0.02108083029814889
2024-08-15,29,Fear,-0.030725936836638712
2024-08-16,27,Fear,-0.018983523968024274
2024-08-17,25,Extreme Fear,0.021827820191161917
2024-08-18,31,Fear,0.009321465552772246
2024-08-19,28,Fear,-0.01670006177736616
2024-08-20,30,Fear,0.019450466422930912
2024-08-21,26,Fear,-0.008641547301041497
2024-08-22,39,Fear,0.03529558207121042
2024-08-23,34,Fear,-0.01238287469960897
2024-08-24,56,Greed,0.06064404932785705
2024-08-25,54,Neutral,0.0016779941523450415
2024-08-26,55,Greed,0.0016935864712752657
2024-08-27,48,Neutral,-0.02090115776993451
2024-08-28,30,Fear,-0.05397148566742571
