date,fear_greed_score,sentiment_label,returns
2024-06-19,64,Greed,-0.044619093999475945
2024-06-20,60,Greed,-0.001110970774439335
2024-06-21,63,Greed,0.0018038532516939654
2024-06-22,53,Neutral,-0.02101492431970664
2024-06-23,55,Greed,0.02335856972753425
2024-06-24,51,Neutral,-0.012921830865664674
2024-06-25,30,Fear,-0.005196241794056977
2024-06-26,46,Fear,0.037421215564949595
2024-06-27,40,Fear,-0.018549492293935765
2024-06-28,47,Neutral,0.01540145047241781
2024-06-29,30,Fear,-0.013731885292562751
2024-06-30,47,Neutral,-0.0049803028635708735
2024-07-01,53,Neutral,0.022915254099584947
2024-07-02,51,Neutral,0.02733790469919506
2024-07-03,50,Neutral,0.03637395548734812
2024-07-04,44,Fear,-0.026059462113286802
2024-07-05,29,Fear,-0.10668066804834198
2024-07-06,26,Fear,-0.03667764999920531
2024-07-07,29,Fear,0.060504682497542595
2024-07-08,28,Fear,-0.06764770848924206
2024-07-09,27,Fear,0.06635512152846856
2024-07-10,28,Fear,0.017399705363407847
2024-07-11,29,Fear,0.03633090906755854
2024-07-12,25,Extreme Fear,0.017561197838747766
2024-07-13,25,Extreme Fear,0.05139672312347843
2024-07-14,33,Fear,0.05927446862226571
2024-07-15,52,Neutral,-0.0184610094842238
2024-07-16,65,Greed,0.0301664304772169
2024-07-17,69,Greed,-0.016697198464195595
2024-07-18,61,Greed,-0.0031871397042155802
2024-07-19,60,Greed,-0.029526502864583137
2024-07-20,74,Greed,0.03483524492990364
2024-07-21,74,Greed,-0.0018981230366224011
2024-07-22,70,Greed,0.019583376190410062
2024-07-23,71,Greed,-0.044886536093874385
2024-07-24,69,Greed,-0.0377888634788387
2024-07-25,68,Greed,-0.0087961468885841
2024-07-26,68,Greed,-0.02960892638080137
2024-07-27,72,Greed,0.058223811664062985
2024-07-28,71,Greed,0.0021721182414422557
2024-07-29,74,Greed,-0.026486250564674574
2024-07-30,67,Greed,-0.00865608858844924
2024-07-31,61,Greed,-0.005997009035472289
2024-08-01,52,Neutral,-0.03180779809711398
2024-08-02,57,Greed,0.009130102197610679
2024-08-03,37,Fear,-0.07209629255244931
2024-08-04,34,Fear,5.232304652325048e-05
2024-08-05,26,Fear,-0.05648766548736006
